# Shellcode detector== Legitimate instructions executed before shellcode was detected ==
0x7F9AD43A184B::libc.so.6  66 0F 6F 15 BD 78 0D 00 movdqa xmm2, xmmword ptr [rip+0xd78bd]
0x7F9AD43A1853::libc.so.6  0F 1F 44 00 00          nop dword ptr [rax+rax*1], eax
0x7F9AD43A1858::libc.so.6  66 0F 6F C6             movdqa xmm0, xmm6
0x7F9AD43A185C::libc.so.6  66 41 0F FE F4          paddd xmm6, xmm12
0x7F9AD43A1861::libc.so.6  66 41 0F 6F C8          movdqa xmm1, xmm8
0x7F9AD43A1866::libc.so.6  66 41 0F 6F E2          movdqa xmm4, xmm10
0x7F9AD43A186B::libc.so.6  66 41 0F FE C3          paddd xmm0, xmm11
0x7F9AD43A1870::libc.so.6  66 0F 6F E8             movdqa xmm5, xmm0
0x7F9AD43A1874::libc.so.6  66 0F 73 D8 04          psrldq xmm0, 0x4
0x7F9AD43A1879::libc.so.6  66 0F 73 D9 04          psrldq xmm1, 0x4
0x7F9AD43A187E::libc.so.6  66 0F F4 C1             pmuludq xmm0, xmm1
0x7F9AD43A1882::libc.so.6  66 0F 70 C0 08          pshufd xmm0, xmm0, 0x8
0x7F9AD43A1887::libc.so.6  66 41 0F F4 E8          pmuludq xmm5, xmm8
0x7F9AD43A188C::libc.so.6  66 0F 70 ED 08          pshufd xmm5, xmm5, 0x8
0x7F9AD43A1891::libc.so.6  66 0F 6F DA             movdqa xmm3, xmm2
0x7F9AD43A1895::libc.so.6  66 0F 73 D3 20          psrlq xmm3, 0x20
0x7F9AD43A189A::libc.so.6  66 0F 62 E8             punpckldq xmm5, xmm0
0x7F9AD43A189E::libc.so.6  66 0F 66 E5             pcmpgtd xmm4, xmm5
0x7F9AD43A18A2::libc.so.6  66 44 0F 6F ED          movdqa xmm13, xmm5
0x7F9AD43A18A7::libc.so.6  66 44 0F 62 EC          punpckldq xmm13, xmm4
0x7F9AD43A18AC::libc.so.6  66 0F 6A EC             punpckhdq xmm5, xmm4
0x7F9AD43A18B0::libc.so.6  66 0F 6F E2             movdqa xmm4, xmm2
0x7F9AD43A18B4::libc.so.6  66 44 0F D4 EF          paddq xmm13, xmm7
0x7F9AD43A18B9::libc.so.6  66 41 0F 6F CD          movdqa xmm1, xmm13
0x7F9AD43A18BE::libc.so.6  66 41 0F F4 DD          pmuludq xmm3, xmm13
0x7F9AD43A18C3::libc.so.6  66 41 0F 6F C5          movdqa xmm0, xmm13
0x7F9AD43A18C8::libc.so.6  66 0F D4 EF             paddq xmm5, xmm7
0x7F9AD43A18CC::libc.so.6  66 0F 73 F3 20          psllq xmm3, 0x20
0x7F9AD43A18D1::libc.so.6  66 0F F4 CA             pmuludq xmm1, xmm2
0x7F9AD43A18D5::libc.so.6  66 0F D4 CB             paddq xmm1, xmm3
0x7F9AD43A18D9::libc.so.6  66 0F 6F DD             movdqa xmm3, xmm5
0x7F9AD43A18DD::libc.so.6  66 0F 73 D0 20          psrlq xmm0, 0x20
0x7F9AD43A18E2::libc.so.6  66 0F F4 C2             pmuludq xmm0, xmm2
0x7F9AD43A18E6::libc.so.6  66 0F 73 F0 20          psllq xmm0, 0x20
0x7F9AD43A18EB::libc.so.6  66 0F D4 C8             paddq xmm1, xmm0
0x7F9AD43A18EF::libc.so.6  66 0F 6F C5             movdqa xmm0, xmm5
0x7F9AD43A18F3::libc.so.6  66 41 0F D4 C9          paddq xmm1, xmm9
0x7F9AD43A18F8::libc.so.6  66 0F 73 D3 20          psrlq xmm3, 0x20
0x7F9AD43A18FD::libc.so.6  66 0F 73 D4 20          psrlq xmm4, 0x20
0x7F9AD43A1902::libc.so.6  66 0F F4 DA             pmuludq xmm3, xmm2
0x7F9AD43A1906::libc.so.6  66 0F F4 C2             pmuludq xmm0, xmm2
0x7F9AD43A190A::libc.so.6  66 0F 73 F3 20          psllq xmm3, 0x20
